company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Csc Generation,Canada,"  The UX Designer requires deep collaborating with design leadership, product owners, engineers, fellow UX designers and business partners.",ui ux designer,Senior UX Designer,,"Remote in Toronto, ON",2022-08-06,,
Imperial Tobacco Canada,Canada,  Work in tandem with another product designer to ensure every single digital experience meets user expectations and business objectives. On-site CPE day-care.,ui ux designer,Product Designer,,"Remote in Montréal, QC",2022-07-17,4.4,
Aquanow,Canada,  Collaborate with back-end developers and UI/UX designers. Demonstrate great attention to detail and experience collaborating with UI/UX designers in an agile…,ui ux designer,Front End Engineer,full-time,"Remote in Vancouver, BC",2022-07-17,,
HeadCheck Health,Canada,"  Our entire team works collaboratively, so from time-to-time you’ll also engage with our other employees, such as our Customer Success and Sales teams who relay…",ui ux designer,Android Developer,full-time,"Vancouver, BC",2022-08-11,,
Samsung Electronics,Canada,"  Work closely with UX designers, product managers and backend developers to build user-friendly web experiences. Free onsite gym, showers and bike storage room.",ui ux designer,Front-End Developer,full-time,"Hybrid remote in Vancouver, BC",2022-07-17,4.0,
"Tivix, Inc.",Canada,"  Translating product strategy into detailed requirements and prototypes (wireframes, layouts, functionality, and technical requirements, working with a designer)…",ui ux designer,Associate Product Manager,full-time,Remote,2022-08-11,,
McAfee,Canada,"  Work closely with both product owners and designers to fully understand business requirements and design philosophy. Medical, Dental and Vision Coverage.",ui ux designer,Senior Software Developer UI - Remote,full-time,Remote in Ontario,2022-07-17,3.7,
Design Shopp,Canada,"  As a Front-end Web Developer at Design Shopp, you will program HTML templates with clean and concise code based on a mocked-up design while working closely with…",ui ux designer,Front-end Web Developer,full-time,"Montréal, QC",2022-07-17,,
Royal Bank of Canada,Canada,"  Partners with data/analytics specialists and designers to conduct user research and testing. Collaborates with designers, product managers, and stakeholders (as…",ui ux designer,Senior Digital Product Manager - US Cash Management,full-time,"Toronto, ON",2022-07-17,4.0,
Oracle,Canada,"  You love to collaborate with designers, user researchers, engineers, product managers, executives, and inspire them to do their best.",ui ux designer,Senior User Experience Designer,,Remote in Canada,2022-07-19,3.8,
TELUS,Canada,"  Our team includes a passionate group of strategists, UX and visual designers, full stack developers, content managers, scrum masters, testers, product owners,…",ui ux designer,"Manager, Digital Commerce | TELUS Digital",full-time,"Vancouver, BC",2022-07-17,3.9,
Neoxia,Canada,"  Au sein de la Data Factory de Neoxia, tu pourras intégrer une équipe pluridisciplinaire (Data Analysts, Data Scientists, Data Ops, Data Architect, Scrum Master,…",ui ux designer,[Canada ] Data full stack cloud,undefined,"Montréal, QC",2022-08-10,,70000-90000
Capital One,Canada,"  You have experience building teams through hiring, growing, and retaining high-performing designers. Help to manage the intake process, prioritization, and…",ui ux designer,"Manager, Product Design",full-time,"Hybrid remote in Toronto, ON",2022-07-17,3.9,
Province of Nova Scotia,Canada,"  This position works closely with service designers, business analysts, project managers, managers, and other stakeholder, and plays an important role ensuring…",ui ux designer,Senior Web Application Developer (Computer Services Officer...,undefined,"Halifax, NS",2022-08-11,3.9,5827-6844
Jonas Software,Canada,"  We are now looking to hire Software Developers with experience levels ranging from 5 to 10 years. Working closely with the existing team, you will be…",ui ux designer,Software Developer,full-time,"Halifax, NS",2022-08-11,3.2,
TELUS,Canada,"  Job Function: Product Management &amp; UX/UI Design. We’re a customer-driven and product-minded team within TELUS, responsible for our company’s digital evolution.",ui ux designer,Senior Product Owner - B2B TELUS Digital,full-time,"Remote in Toronto, ON",2022-08-05,3.9,
Emily Carr University of Art + Design,Canada,"  2D and 3D Game Development. Visual Effects for Games, Film or Animation. Software and tools including Maya, 3DS Max, Houdini, Blender, Zbrush, SolidWorks, Adobe…",ui ux designer,Continuing Studies Instructors - Creative Tech Fundamentals,undefined,"Vancouver, BC",2022-07-17,3.9,55
McAfee,Canada,"  Work closely with both product owners and designers to fully understand business requirements and design philosophy. Medical, Dental and Vision Coverage.",ui ux designer,Sr Web Developer - Remote,full-time,Remote in Ontario,2022-08-12,3.7,
Ulula Canada Inc.,Canada,"  The successful candidate will be building and implementing functional and MVP programs. You will work with other Developers, Product Manager and UX/UI Designers…",ui ux designer,Software Developer - mobile,full-time,"Hybrid remote in Greater Toronto Area, ON",2022-07-20,,
Pilot PMR,Canada,"  Confident in communicating your ideas and able to collaborate and discuss work with designers. Working closely with UX and creative directors, designers,…",ui ux designer,Front End / WordPress Developer,,"Toronto, ON",2022-07-17,,
Evident,Canada,"  Intégration des maquettes créée par les UX designers; Dorénavant, Olympus NDT est connu sous le nom Evident! Travailler avec les technologies suivantes : HTML,…",ui ux designer,Stagiaire intégrateur web (Développement FE en Angular),undefined,"Hybrid remote in Montréal, QC",2022-07-17,,20-25
Goldman Sachs,Canada,"  The team is diverse and global, comprising developers, business analysts, visual designers and animators—a nimble, cross-disciplinary group taking deep dives…",ui ux designer,Full-Stack/Back-End Software Engineer - General Candidate Pi...,full-time,"Toronto, ON",2022-07-17,4.0,
BRP,Canada,"  Web marketing, e-commerce, CRM, mobile applications, intranets, virtual events, web apps, IoT, embedded interfaces, and more, the playground of the BRP digital…",ui ux designer,"Global Manager, Digital UX-UI",,"Montréal, QC",2022-07-17,3.8,
Neo Financial,Canada,  You'll be working closely with professional designers and an important part of building best-in-class mobile interfaces for an app that will be used by millions…,ui ux designer,Senior iOS Developer,undefined,"Calgary, AB+1 location",2022-07-17,3.9,120000-220000
NCR,Canada,  Implement UI web applications via hands-on ReactJS coding following best practices and coding standards for the implementation of clean JavaScript/ES6 code and…,ui ux designer,Software Engineer,full-time,"Hybrid remote in Waterloo, ON",2022-07-17,3.5,
