company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
EBSCO Information Services,USA,"  Conduct user experience research and testing for users with accessibilities, within larger user research umbrella.",product manager,Accessibility Product Manager,,Remote in Massachusetts,2022-08-02,3.6,
Honey,USA,"  Lead execution of product development activities, ensuring successful implementation and launch of high-quality features.",product manager,Product Manager,full-time,"Los Angeles, CA+3 locations",2022-07-17,,
Paradigm Connect,USA,  Experience leading engineering discussions around technology decisions related to product strategy and features. Competitive pay and transparent pay bands.,product manager,Senior Product Manager,,Remote,2022-07-17,,
Bread Financial,USA,  Product Performance and Continuous Improvement: Defines metrics to measure the success of the features and products put into the market.,product manager,Product Manager - Mobile,full-time,Remote,2022-07-17,3.6,
Starbucks,USA,"  Strong knowledge and experience in product development and manufacturing of food and beverage products. Knowledge of food and beverage technology, ingredient…",product manager,"manager product development, Beverage R&amp;D",full-time,"Hybrid remote in Seattle, WA",2022-08-09,3.9,
The Meet Group,USA,"  You will be responsible for aligning the team behind the most important projects at any given time, with an eye toward driving growth in relevant key metrics…",product manager,REMOTE: Sr. Product Manager (Software/Technology),full-time,Remote,2022-07-23,3.5,
Gathi Analytics,USA,  Maintains and refines product backlog; creates user stories and acceptance criteria and prioritizes all stories to ensure work focuses on those with maximum…,product manager,Technical Product Manager,,Remote,2022-08-13,,
Agora,USA,"  Experience working on real-time voice, video, streaming or networking products. Collaborate with product teams to ensure your solutions integrate seamlessly…",product manager,"Group Product Manager, Developer Experience",undefined,"Remote in Santa Clara, CA",2022-07-17,4.1,200000
Cengage Group,USA,"  Set clear objectives and timelines to release experiences or products to market on time and to spec by leading the development of work plans, gathering and…",product manager,Product Manager (remote),full-time,"Remote in Boston, MA",2022-08-02,3.6,
Unify Consulting,USA,"  Measure &amp; monitor key KPI performance and measures impact of new features. Work with business, other product managers and technology to identify and prioritize…",product manager,Senior Consultant - Product Manager,full-time,"San Francisco, CA (Financial District/South Beach area)",2022-07-23,2.1,
US Rock Corporation,USA,"  The product manager is responsible for developing, implementing and maintaining US Rock Corporation's product line.",product manager,"Product Manager - ""The Kitchen Sink""",,"Inglewood, CA 90305",2022-07-17,,
TikTok,USA,  Our US Safety Product Management team is responsible to evaluate impactful features and collaborate with cross functional teams to enable the safety features…,product manager,Product Manager - US Trust &amp; Safety,,"Mountain View, CA 94041 (Old Mountain View area)+4 locations",2022-07-17,3.3,
Fortis Life Sciences,USA,"  This includes managing the product throughout the Product Lifecycle, gathering and prioritizing product and customer requirements, defining the product vision,…",product manager,Product Manager,full-time,"Lowell, MI 49331",2022-08-05,,
NimbleRx,USA,"  Balance quantitative inputs / data, and qualitative input from our customers; blend and balance product, design, creative, operational, and engineering…",product manager,Sr. Product Manager,full-time,Remote,2022-07-17,3.2,
Diamond Standard,USA,"  Training internal staff and clients/prospects on product functionality and new features. Overseeing product enhancements, upgrades and system roll outs.",product manager,Product Manager - Consumer,full-time,"New York, NY 10036+1 location",2022-07-17,,
Disney Streaming,USA,  Analyze our existing user experiences and industry best practices to identify opportunities to drive growth and improve value propositions for our user.,product manager,"Product Manager, Commerce / Growth Partnership",,"New York, NY+2 locations",2022-07-17,,
TaskRay,USA,"  Help develop and maintain ICP, buyer and user personas, positioning, and product messaging. Partner with Product Management and Customer Success on user…",product manager,Product Marketing Manager,undefined,Remote,2022-07-24,,80000-100000
CBS,USA,"  5+ years proven experience with online video, in a product or engineering function. Meeting with product managers from customer teams to work through…",product manager,Principal Product Manager (Remote),full-time,"Remote in Burbank, CA 91505",2022-08-07,3.9,
Lambda,USA,"  Have launched a product combining hardware and software as a product marketer or product manager. POSITIONING/MESSAGING: Develop positioning, messaging, and…",product manager,Product Marketing Manager - Hardware,,+1 locationRemote,2022-07-17,4.4,
Apple,USA,"  Day-to-day responsibilities include: - Gather requirements and use cases from various teams, and identify necessary key platform capabilities - Assess and…",product manager,"Product Manager, Apple Services",,"Culver City, CA+32 locations",2022-08-14,4.1,
Webgility,USA,  Responsible for the retention and product adoption of our customers throughout their onboarding customer journey. A strong passion for the customer’s success.,product manager,Sr. Product Manager,,"Scottsdale, AZ+1 location",2022-07-17,1.5,
White Pine Software,USA,"  Seeking a creative individual to be responsible for the product marketing activities of our client product, CU-SeeMe, including: market research, competitive…",product manager,Client Product Manager,,"Nashua, NH 03063",2022-07-17,,
First Republic Bank,USA,"  Collaborate with UI/UX designers, other Product Managers, analysts, engineers and data scientists to launch new products, document enhancement requests for…",product manager,Product Manager,,"San Francisco, CA 94111 (Financial District/South Beach area)",2022-07-17,3.9,
Bertrandt,USA,  The Product and Quality Specialist is responsible for the problem solving process within the specific module/process at the BMW engineering department.,product manager,Automotive Product and Quality Manager,full-time,"Greenville, SC 29615",2022-07-17,3.6,
Vontier,USA,"  Deliver the necessary product specifications, requirements, and user stories needed to successfully deliver on the product roadmap.",product manager,Product Manager,,Remote,2022-08-03,3.0,
Instec Corp,USA,"  Lead, inspire and mentor a team of product managers, product owners, user experience and business analysts. Leads all phases of a product program – from concept…",product manager,Senior Product Manager,,Remote,2022-07-17,,
Resultant,USA,"  Responsible for the inventory management of product, tracking product throughout the procurement lifecycle. Maintain and update the product catalog.",product manager,Product Procurement Manager (Hybrid in IN),full-time,"Remote in Indianapolis, IN",2022-08-11,,
Microsoft,USA,"  Drive global product requirements definition, product planning, and product design (including writing BRDs) of new features and enhancements related to above;…",product manager,Worldwide Learning Certification Renewal Product Manager,full-time,"Redmond, WA 98052 (Overlake area)",2022-07-17,4.2,
O'Reilly Auto Parts,USA,"  Manage designated product lines, making product and supplier recommendations. Assist Product Managers with product line analysis to maximize profitability for…",product manager,Junior Product Manager,full-time,"Springfield, MO",2022-07-20,3.4,
Nike,USA,  Develop and maintain product features and apply strategy in developing proposals and executing changes. Mine and analyzes data to determine features performance…,product manager,Product Manager,full-time,"Beaverton, OR",2022-07-29,4.1,
Baylor Scott &amp; White Health,USA,  Develop and distribute communication plans; identify/ resolve issues and risk; use metrics to assess the success of products and features and determine…,product manager,Digital Health Product Manager 1 - Remote,,"Remote in Dallas, TX 75246+1 location",2022-07-17,3.8,
Nuvento systems,USA,"  This includes managing the product throughout the Product Lifecycle, gathering and prioritizing product and customer requirements, defining the product vision,…",product manager,Software Product Manager,full-time,Remote,2022-07-17,,
Paragon 28 Inc,USA,"  Lead global product launch planning, including business objectives, product positioning, and key selling messages (including economic messages) for assigned…",product manager,Sr. Product Manager - Total Ankle,undefined,"Hybrid remote in Englewood, CO 80112",2022-07-26,3.5,115000-135000
Bridgeline Digital,USA,"  Measure, analyze and present reports on product performance including trials, conversions, and other metrics as needed to support the product launches.",product manager,Assistant Product Manager,,"Chicago, IL",2022-07-17,3.2,
Founders Factory,USA,"  Set the vision for the Product based on an understanding of business and user needs, and working closely with the Founders.",product manager,Product Manager @ Isidore,full-time,Remote,2022-07-17,,
Performant Financial Corporation,USA,  Translate business requirements into product requirements and user stories for new features and feature enhancements. Performant is a government contractor.,product manager,Associate Application Product Manager,full-time,"Remote in San Francisco, CA",2022-08-05,3.1,
Viatris,USA,  Analyze day to day operational reports and metrics to identify/communicate program trends and support continuous improvement after launch.,product manager,"Manager, Product Solutions and Patient Services",full-time,Remote,2022-07-17,3.7,
Ford Motor Company,USA,  Experience developing software or internet products and technologies to define technical product features. Experience in working in a matrixed team structure…,product manager,Group Product Manager- Consumer- remote,,Remote in Michigan,2022-08-09,4.1,
