company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Novus,USA,"  AWS or a similar public cloud. Personal interest in capital markets, finance and investing (even if you’ve never traded stock).",software engineer,Software Engineer,,"New York, NY 10010 (NoMad area)+3 locations",2022-07-17,3.8,
Denken Solutions Inc,USA,  Performs code peer-reviews - Liaises with and provides input to the project manager on project progress and issues. Ability to investigate and solve problems -.,software engineer,ADABAS/NATURAL Software Engineer,,Remote in California,2022-08-16,4.8,
Geologics Corporation,USA,"  OO Design software development using C++. 5 years of relevant experience with a Bachelors degree (STEM - Science, Technology, Engineering or Mathematics,…",software engineer,Space Systems Software Engineer,undefined,"Aurora, CO+16 locations",2022-08-02,4.0,90
Immuta,USA,  Only Immuta can seamlessly integrate with the leading cloud data platforms to manage and enforce data policies at scale so that users get access to the right…,software engineer,Full Stack Software Engineer,full-time,Remote+3 locations,2022-07-17,,
Alight,USA,  5 Plus years of professional level development. In this role you will be responsible for designing and architecting a mid-to-large market benefit administration…,software engineer,Software Engineer - 100% Remote,undefined,Remote in Illinois+6 locations,2022-07-26,3.1,90000
"The Travelers Companies, Inc.",USA,"  Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum.",software engineer,Software Engineer (Java),undefined,"Houston, TX+34 locations",2022-07-17,3.7,86300-142400
Boxed,USA,"  We are looking for talented software engineers to join our back-end* Catalog Services *team, whose focus is enhancing our product offerings &amp; presentation, our…",software engineer,"Backend Software Engineer, Catalog",full-time,"New York, NY",2022-07-17,3.4,
Gartner,USA,  Good software development and object-oriented design fundamentals. Build software applications and create new features for existing applications.,software engineer,Associate Software Engineer,,"Portland, OR 97204 (Old Town-Chinatown area)+19 locations",2022-07-22,3.7,
Agree Technologies and Solutions,USA,"  Net (C#), OOP, and design patterns. In-depth experience building REST web services with JSON, Node, and other current technologies.",software engineer,Software Engineer,undefined,"Boise, ID",2022-07-17,,85000
BrightArrow,USA,  Answer questions about how to use our software. Provide webinar training on the use of the product. Create user documentation and video on using the product.,software engineer,Software Technical Support Engineer,,"Bellevue, WA",2022-08-06,,
Interclypse Inc,USA,"  Seeking engineers to grow their knowledge and further their careers. Software Engineering candidates have experience working in team environments, building…",software engineer,Software Engineer,full-time,"Annapolis Junction, MD 20701+12 locations",2022-08-16,,
Trane Technologies,USA,"  2-5 years of developing software using object-oriented design and implementation. Responsible for design, construction and development testing of software…",software engineer,.NET Software Engineer,undefined,"Hybrid remote in Saint Paul, MN 55110",2022-07-31,3.1,63000-133000
CompTech Computer Technologies,USA,  Must be able to obtain and maintain a US government security clearance. Participates in development of software user manuals.,software engineer,Software Engineer,full-time,Remote,2022-07-17,3.9,
Princeton University,USA,"  Project requirements can vary from advanced applications of machine learning, the development of scalable and efficient research code, the creation of tailored…",software engineer,Research Software Engineer,full-time,"Princeton, NJ 08542",2022-07-17,4.4,
Dynatrace,USA,  Experience with software support and troubleshooting. As a Customer Solutions Engineer you will be an integral part of our customer support and success.,software engineer,Software Support Engineer,undefined,"Denver, CO",2022-07-17,4.2,70000-110000
