company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Collins Aerospace,AUSTRALIA,"  Contract Basis: Full-time, Permanent. The HMI/User Experience Designer creates innovative solutions for products ranging from large scale mission control…",ui ux designer,HMI/UI/UX Designer,permanent,Sydney NSW,2022-08-04,3.6,
Bankwest,AUSTRALIA,"  Bankwest’s Digital team drives the customer experience across our mobile app, online banking, and websites. Collaboratively work with multiple disciplines (like…",ui ux designer,User Experience Designer,full-time,Perth WA,2022-08-09,3.5,
Insurance Australia Group,AUSTRALIA,  Guiding designers on appropriate component usage. Ability to communicate verbally and visually and collaborate with a team including non-designers.,ui ux designer,Senior UI Designer,permanent,Sydney NSW 2000,2022-08-12,3.7,
Racing and Wagering Western Australia,AUSTRALIA,  We are seeking a talented UI Designer to contribute to the continual improvement of all interfaces to create a richer user experience and increase engagement.,ui ux designer,UI Designer,full-time,Osborne Park WA 6017,2022-08-06,,
Commonwealth Bank,AUSTRALIA,  Collaborate with other designers to define the problem space and translate design solutions into working prototype. A passion for big ideas and storytelling.,ui ux designer,Senior UI Designer,full-time,Sydney Central Business District NSW,2022-08-10,4.0,
userback,AUSTRALIA,  Userback enables software teams to manage bug reports and feature requests to resolve user-reported issues faster. Solve product problems from beginning to end.,ui ux designer,Product Designer,,Remote,2022-07-28,,
Canva,AUSTRALIA,"  You will be working in partnership with a Product Design Lead, supported by a tight family of talented front-end and back-end engineers, and some kick-ass PMs…",ui ux designer,Lead Product Designer - Canva Creators,full-time,Remote in Sydney NSW,2022-07-27,3.8,
Canva,AUSTRALIA,"  We aim to improve activation and adoption rates for our core plans including Canva Pro, Canva Enterprise, and Canva for Education users while providing a…",ui ux designer,Senior UX/UI Designer - Lifecycle Team,full-time,Remote in Melbourne VIC+1 location,2022-08-10,3.8,
PaperCut Software,AUSTRALIA,"  As our UX Designer you will report to our Digital Optimisation Lead and be an important part of our web team, who is a diverse group of people hyper-focused on…",ui ux designer,Digital UX/UI Designer,full-time,Melbourne VIC,2022-07-17,,
Flippa,AUSTRALIA,"  Flexible, dynamic, responsive mobile interactions. Dashboards, communications centers, and customer workflows.",ui ux designer,Product Designer (UX/UI),full-time,Melbourne VIC,2022-07-17,,
Actualise Design,AUSTRALIA,  Actualise Design is looking for freelance/contract web / UX designers to assist with overflow and project work. Creative and aesthetic visual design ability.,ui ux designer,Web / UX Designer,freelance,Remote,2022-07-28,,
Electronic Arts,AUSTRALIA,"  EA's game engine, Frostbite, powers games such as Madden NFL, EA SPORTS™ FIFA, Battlefield™, Need for Speed™, Dragon Age™, and Plants vs. Zombies™.",ui ux designer,UX Designer,full-time,Melbourne VIC,2022-07-17,,
Optus,AUSTRALIA,"  We have already introduced some of the Optus Living Network’s early features: Donate your Data, a new way to do good with unused data; Unlimited Data Days, a…",ui ux designer,Product Designer (UX/UI) - Optus Living Network - #cxyes,,Sydney NSW,2022-07-17,3.7,
Capgemini Australia,AUSTRALIA,  Need a strong UX designer with proven industry UX experience to work on a variety of UX projects for our Banking client.,ui ux designer,UX Designer,,Melbourne VIC,2022-08-03,3.8,
ARQ Group,AUSTRALIA,"  Mentor junior and mid-level designers in the team. We define, design and create products and solutions that solve problems, big and small.",ui ux designer,Senior UX/UI Designer,permanent,Brisbane QLD+1 location,2022-07-17,3.9,
AKQA,AUSTRALIA,  The specific role requirements will be assessed based on area of specialism as an UI or UX focused experience designer. Working in cross functional teams.,ui ux designer,Lead Experience Designer - Expressions of Interest,freelance,Remote in Sydney NSW,2022-07-17,3.4,
Macquarie Group Limited,AUSTRALIA,"  5+ years of experience as a UX Designer and/or designer. In this role you will apply user-centered design methods to translate user needs, as well as business…",ui ux designer,UX Designer - Sydney,permanent,Sydney NSW,2022-07-17,3.8,
Experis,AUSTRALIA,"  This position would suit a Web focused, Mid or Senior UI / UX Designer with experience in web design. You will be working closely with the Lead Designer,…",ui ux designer,UI / UX Designer,undefined,Hybrid remote in Brisbane QLD,2022-07-17,3.5,120000-150000
New Republique,AUSTRALIA,"  Have over 3+ years experience in digital design. Have over 3+ year experience in UI design. Experience with Sketch, Figma and Invision.",ui ux designer,UX/UI Designer,full-time,Hybrid remote in Darlinghurst NSW,2022-07-17,,
Corporate Advantage Group,AUSTRALIA,"  New Motion Studio (NMS) is a full serviced, digital agency based in Parramatta NSW, delivering top-tier solutions for companies of all sizes.",ui ux designer,Webflow Developer &amp; Website Designer,undefined,Remote in Parramatta NSW,2022-08-12,,21-23
Atlassian,AUSTRALIA,"  A track record of delivering outcomes as a hands-on content designer. Experience working with and influencing software development teams, product managers, and…",ui ux designer,Content Designer,full-time,Sydney NSW,2022-07-17,4.4,
Pragma Partners,AUSTRALIA,"  Our team includes experienced and skilled user researchers, service designers, content designers, content strategists, technical leads, delivery managers and…",ui ux designer,Interaction Designer,part-time,Remote in Canberra ACT 2601,2022-07-17,,
Livewire Markets,AUSTRALIA,"  Experience working collaboratively with PMs and engineers and fellow designers to deliver end-to-end user experiences, from research to production and continued…",ui ux designer,UX Researcher,full-time,Sydney NSW 2000,2022-08-10,,
Procreate,AUSTRALIA,"  Technical competency with creative softwares such as; Figma, Photoshop, Illustrator, Sketch or Affinity. Basic understanding of web or iOS development.",ui ux designer,Senior Product Designer,full-time,Hobart TAS+1 location,2022-07-21,,
Talent International,AUSTRALIA,"  As a UI/UX Designer for this leading FMCG organisation you will play a critical role in influencing the creation, build, and delivery of frictionless user…",ui ux designer,UI/UX Designer,undefined,Australia,2022-07-20,4.4,110000-130000
OKMG,AUSTRALIA,  Co-learn and share your knowledge with the other graphic designers to raise the overall digital design standard and grow together a department and an agency.,ui ux designer,Digital Designer,full-time,Perth WA,2022-07-22,,
Pixel Palace,AUSTRALIA,  There’s currently an opportunity for a digital designer with some front end developer skills to join our close knit Fortitude Valley-based team in a full-time…,ui ux designer,Front End Designer (with Dev Skills),full-time,Fortitude Valley QLD,2022-07-17,,
kikki.K,AUSTRALIA,  Work closely with the Marketing Team on designing all campaign and CRM eDMs for desktop and mobile devices. Work with the Marketing Team to maintain consistency…,ui ux designer,Digital &amp; Marketing Designer,full-time,Melbourne VIC,2022-08-02,2.8,
Resolution Digital,AUSTRALIA,"  An award winning, full service digital agency that delivers remarkable results. You will be responsible for the delivery of Resolution Digital projects while…",ui ux designer,UX/UI Designer,full-time,Sydney NSW,2022-07-17,,
CoreLogic,AUSTRALIA,"  Using artificial intelligence and automation, we help real estate agents and business owners enjoy a more efficient, enjoyable, and hyper-personalised service…",ui ux designer,UI/UX Designer,full-time,Fortitude Valley QLD,2022-07-17,3.3,
Interface Agency,AUSTRALIA,"  Corporate-side role in booming financial services organisation. You will be responsible for gathering user, functional, technical and business requirements then…",ui ux designer,UI Designer,permanent,Hybrid remote in Sydney NSW,2022-07-17,,
Folk,AUSTRALIA,"  Keen as researchers, strategists, designers, technologists, and project managers, who like to collaborate with clients.",ui ux designer,UI Designer - Brisbane,full-time,Annandale NSW,2022-07-17,,
2U Bootcamps Instructional Engagement,AUSTRALIA,"  At least 4-5 years of UX/UI designer experience (or equivalent). User-Centric Design Research using Qualitative and Quantitative Practices, Information…",ui ux designer,UX / UI Design Instructor - Monash University (Remote),undefined,Remote in Melbourne VIC,2022-08-02,,49.27-52.35
Zero Digital Media,AUSTRALIA,  ZDM has an exciting vacancy for a talented and experienced digital graphic designer to lead digital design and brand projects across Zero Digital’s suite of…,ui ux designer,WEB DESIGNER,,Australia,2022-07-26,,
Reckon,AUSTRALIA,"  Working closely with UX designers, lead the design of hyper-functional user interfaces for a wide range of business applications, across web and mobile.",ui ux designer,Senior UI Designer,full-time,North Sydney NSW,2022-07-17,,
WeAreDigital,AUSTRALIA,"  You will work closely with our designers, developers, strategists and client leads to: The Senior UI/UX Designer will contribute to the design process, as…",ui ux designer,Senior UI/UX Designer,undefined,Armadale VIC,2022-07-17,,1500
EY,AUSTRALIA,"  Designing innovative web/mobile/tablet experiences based on the understanding of user persona's, their behaviour and needs, as well as competitive market…",ui ux designer,UX/UI Designer,,Sydney NSW 2000,2022-07-17,4.0,
Flight Centre,AUSTRALIA,"  Contributing to the definition and development of detailed customer experience designs from project inception, through to build and launch.",ui ux designer,Senior UX/UI Designer,full-time,Queensland,2022-07-17,3.5,
Nine,AUSTRALIA,"  You will work closely with fellow designers, product managers, technical teams and researchers to create compelling and meaningful user experiences across web,…",ui ux designer,Digital Product Designer -UX/UI (Mid-Level role),full-time,Hybrid remote in North Sydney NSW 2060,2022-07-17,3.8,
Commonwealth Bank,AUSTRALIA,"  Our teams consist of UXers, interaction designers, visual designers, content writers, publishers, product owners, engineers and user researchers who collaborate…",ui ux designer,Hybrid UX/UI Designer - Expression of Interest (Mid to Senio...,full-time,Inner West NSW,2022-07-17,4.0,
HAYS,AUSTRALIA,"  This Agency takes a flexible approach to their office and teams, offering remote working between the hours of 7am to 7pm, with occasional travel into the…",ui ux designer,UX / UI Designer,undefined,Canberra ACT+1 location,2022-07-17,3.6,100-120
Appetiser,AUSTRALIA,"  Taking ownership of product strategy and design across the web and/or mobile projects. Creating wireframes, storyboards, user flows, process flows and site maps…",ui ux designer,Product Designer (UI/UX),,Melbourne VIC,2022-08-14,,
Commonwealth Bank,AUSTRALIA,"  You are experienced working with a cross-functional team, and collaborating effectively with product owners, business stakeholders, technical members of your…",ui ux designer,Specialist Experience Designer,full-time,Sydney Central Business District NSW,2022-08-13,4.0,
2XM Technology Pty Ltd,AUSTRALIA,"  Work with other UX and UI designers with a collaborative mindset. It’s a very exciting and prominent transformational project, and a great case study for mature…",ui ux designer,Senior UX Designer,undefined,Sydney NSW,2022-07-29,,160000-180000
HCF,AUSTRALIA,"  Working with other UX and UI designers with a collaborative mindset. You will bring the stakeholders on a journey, collaborating closely with BAs, UI designers,…",ui ux designer,Senior UX Designer,full-time,Sydney Central Business District NSW,2022-07-28,1.9,
DNA Client,AUSTRALIA,"  As Senior UX/UI Designer, you will be expected to support the delivery through user-centred design methods: translate user needs, business objectives, and…",ui ux designer,Senior UX/UI Designer,full-time,Melbourne City Centre VIC,2022-07-17,,
Reece Group,AUSTRALIA,"  Team member discounts on company products. 18 weeks paid parental leave. Collaborative, non-hierarchal, diverse and humble.",ui ux designer,UX Designer,full-time,Cremorne VIC,2022-07-17,3.5,
Super Retail Group,AUSTRALIA,  The Omni UX designer will drive the successful development and implementation of optimised customer experiences through to implementation of the solution…,ui ux designer,User Experience Designer,permanent,Strathpine QLD,2022-08-05,3.7,
HAYS,AUSTRALIA,  Knowledge of HCD and UX would be beneficial.,ui ux designer,UI/Visual Designer,contract,Sydney Central Business District NSW,2022-07-17,3.6,
Infosys,AUSTRALIA,  Work with UI designers so they can move from medium to high fidelity. We hold fortnightly sprint planning sessions where each designer works with the POs and…,ui ux designer,UX UI Designer,,Sydney NSW,2022-07-17,3.9,
Lion Pty Ltd,AUSTRALIA,"  Co-designing solutions with designers, products owners, developers, and other business stakeholders. This role will partner with a cross-functional team of…",ui ux designer,UX/UI Designer,permanent,Hybrid remote in Sydney NSW,2022-08-12,3.7,
Michael Page,AUSTRALIA,"  Part of the role will be consulting on and designing UI components, design systems, web applications and enhancing brand assets.",ui ux designer,UI Designer,contract,Perth Central Business District WA,2022-07-17,3.5,
Hammond Street Developments (HSD),AUSTRALIA,  Long Term Day Rate Contract. A prominent Victorian organisation is about to launch an overhaul of key systems that power the way Victorian's travel throughout…,ui ux designer,UI / Web Application Designer,contract,Melbourne VIC,2022-08-11,,
Conkerberry Pty Ltd,AUSTRALIA,  Looking for a talented UI Artist to create amazing user experiences for our mobile and VR titles. The ideal candidate should have an eye for clean and playful…,ui ux designer,UI UX Artist Designer - F2P Mobile Games - Australian or NZ...,undefined,Hybrid remote in Melbourne VIC,2022-07-27,,60000
Insurance Australia Group,AUSTRALIA,"  Ability to work closely with UX/UI Lead, other designers, POs, developers and Bas. We are currently looking for a Mid-Level UI designer to join the Design…",ui ux designer,Mid UI Designer (CX Design),permanent,Sydney NSW 2000,2022-08-12,3.7,
RACV,AUSTRALIA,  Competitive Salary | Discounts on selected RACV products. Reporting to the Senior Marketing Manager - Brand the Graphic Designer is integral to the team in…,ui ux designer,Graphic Designer,permanent,Hybrid remote in Melbourne VIC,2022-07-21,3.4,
Prezzee,AUSTRALIA,"  This role is focused on bringing rich experiences to our audiences as they engage with us through our website and apps. On the technical side, you have: *.",ui ux designer,Senior UI/UX Designer,full-time,Sydney NSW 2000,2022-07-17,,
Present Company,AUSTRALIA,  We're a strategy and design firm who believes understanding your customer is the most important and effective way to make business decisions.,ui ux designer,User interface designer (conceptual),,Redfern NSW 2016,2022-07-17,,
Aurecon Group,AUSTRALIA,  Support computational designers and project teams to integrate and implement computational design methodologies across the business through design and delivery.,ui ux designer,Computational Designer,part-time,Melbourne VIC,2022-07-17,3.9,
Catch Of The Day,AUSTRALIA,"  Working as part of a cross-functional team of developers, UX and UI designers, Product Managers and others. Minimum 5 years experience working as a UX designer…",ui ux designer,UX Designer - Membership and Loyalty,full-time,Melbourne VIC,2022-07-17,4.1,
Davidson Recruitment,AUSTRALIA,"  They're now looking for an experienced Senior Service Designer on a Permanent Opportunity. You will Apply human centred, service design to design customer and…",ui ux designer,Junior Service Designer,permanent,Melbourne VIC,2022-07-29,4.8,
Nectar Brands,AUSTRALIA,  This is a part-time (3 days/week) role with the opportunity to transition into a full-time permanent position. Basic animation and App design experience a plus.,ui ux designer,Digital Designer,permanent,Melbourne VIC,2022-07-17,,
Infosys,AUSTRALIA,"  A designer with some UX capability, whilst CX will be their main strength a hybrid designer would be most beneficial in this piece.",ui ux designer,CX Designer,,Sydney NSW,2022-07-17,3.9,
Immutable X,AUSTRALIA,"  Collaborate with the Creative Director to develop characters, storylines, and worldbuilding. Develop new and compelling features with the Creative Director and…",ui ux designer,Creative Designer (Guild of Guardians),full-time,Remote,2022-07-17,,
Creativemass Enterprises,AUSTRALIA,  Collaborate with other designers to maintain a level of design consistency through quality of work and process workflow.,ui ux designer,UI/UX Designer,,Sydney NSW,2022-07-17,,
HAYS,AUSTRALIA,"  In this role, you will be responsible for leading user experience design and involved in the testing and build of Innovation Initiatives.",ui ux designer,Innovation Specialist - UI/UX Designer,undefined,Remote in Geelong VIC,2022-07-17,3.6,113000
Zip Co,AUSTRALIA,"  As the sole designer in the NZ business, you will lead the NZ UI design system, have the freedom to make decisions and be be expected to utilize your full range…",ui ux designer,Product Designer,full-time,+1 locationRemote,2022-07-17,,
TBWA Melbourne,AUSTRALIA,"  You’ll work closely with designers, other developers and creatives, crafting user-centric solutions. We are seeking somebody with a keen eye for UI and UX.",ui ux designer,Front-end Developer,permanent,South Melbourne VIC,2022-08-06,,
Bapple,AUSTRALIA,  Working with project managers and designers to deliver exciting business-critical digital products and websites. Full-time — 5 days per week.,ui ux designer,Mid-Level UX Designer,full-time,Sydney NSW,2022-08-13,,
Deepend,AUSTRALIA,"  Have 8+ years’ experience in your area expertise. A reasonable, commercial freelance rate card.",ui ux designer,Freelance Support,freelance,Sydney NSW,2022-07-17,,
SafetyCulture,AUSTRALIA,"  All designers at SafetyCulture are responsible for how iAuditor functions, looks, feels and evolves in order to deliver high quality, innovative solutions to…",ui ux designer,Associate Product Designer,permanent,Sydney NSW,2022-07-21,,
Smart Token Labs,AUSTRALIA,"  Together with a team of senior designers, developers and project managers, you will be responsible for delivering these projects and helping design Landing…",ui ux designer,Senior UI Designer,,Remote in Australia+1 location,2022-08-14,,
Manpower,AUSTRALIA,"  The Designer will collaborate with business stakeholders and translate requirements into journey maps, low or high-fidelity visual designs and support cross…",ui ux designer,UX/UI Designer,,Barangaroo NSW,2022-07-17,3.8,
Grease Monkey Games,AUSTRALIA,"  Reporting to a Marketing Director, we are looking for a Digital Media Producer to join our marketing team to plan out and create a range of different media…",ui ux designer,Digital Media Producer / Editor,contract,Brunswick VIC,2022-07-30,,
Chubb INA Holdings Inc.,AUSTRALIA,  Apply the user experience methodology and design the user interfaces and flow to ensure a great user experience within feasibility.,ui ux designer,UX Designer- Duck Creek,full-time,Sydney NSW 2000,2022-07-26,3.7,
iPSCAPE,AUSTRALIA,  IpSCAPE offers multi-channel customer experience technology with feature-rich solutions and advanced integration capability with leading CRM and Business…,ui ux designer,Senior UX/UI Designer,full-time,North Sydney NSW,2022-07-17,,
ED - Group Support Functions,AUSTRALIA,"  Collaborate with other designers to champion the brand look and feel, ensuring a consistent brand experience and that all design lives up to the highest quality…",ui ux designer,Concept Artist - Gamification,full-time,Darlinghurst NSW 2010,2022-08-06,,
Atlassian,AUSTRALIA,"  Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they…",ui ux designer,"Senior Product Designer, Team Data",full-time,Sydney NSW,2022-08-09,4.4,
Google,AUSTRALIA,"  Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience. 4 years of experience in Product Management.",ui ux designer,"Product Manager, Chrome OS",full-time,Sydney NSW,2022-07-17,4.3,
AKQA,AUSTRALIA,  The specific role requirements will be assessed based on area of specialism as an UI or UX focused experience designer. Working in cross functional teams.,ui ux designer,Experience Designers - Expressions of Interest,contract,Sydney NSW,2022-07-17,3.4,
Commonwealth Bank,AUSTRALIA,"  Along with other designers, our teams consist of interaction designers, UX, UI, content writers, publishers, product owners and user researchers who collaborate…",ui ux designer,Senior &amp; Mid UI Designers - Expression of Interest,full-time,Inner West NSW,2022-07-17,4.0,
AIA,AUSTRALIA,"  Ability to communicate clearly and explain your ideas and recommendations to designers, project managers and other stakeholders.",ui ux designer,UX Researcher,full-time,Melbourne VIC,2022-08-12,4.3,
Deloitte,AUSTRALIA,"  You lead and identify improvement opportunities, and focus on creating a joyful customer experience which meets strategic business needs.",ui ux designer,Digital Business Analyst,part-time,Sydney NSW 2000+2 locations,2022-07-17,3.9,
NSW Government -Service NSW,AUSTRALIA,  We currently have 2 ongoing full time permanent positions available with the MyServiceNSW Account portfolio and Service for Business product team.,ui ux designer,Senior Content Designer,undefined,Sydney NSW,2022-07-17,4.0,114429
IBM,AUSTRALIA,"  We’re creating squads made up of designers, solution architects, cloud engineers, data scientists, and subject-matter experts. At least 3 years of UX Design.",ui ux designer,Client Engineering Designer,full-time,Sydney NSW,2022-07-20,3.9,
VERITAS GROUP,AUSTRALIA,  You will work closely with the development team to determine how to build the best visual design and user experiences for our customers.,ui ux designer,Web Designer,,Perth Central Business District WA,2022-07-17,,
