company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
MLC Life Insurance,AUSTRALIA,  Proven excel skills including use of complex formulas and excellent data management. The Reinsurance team is responsible for managing reinsurance operations and…,data analyst,Reinsurance Analyst,undefined,Hybrid remote in Docklands VIC,2022-08-06,3.7,727
La Trobe University,AUSTRALIA,"  Contributes to analysis and interpretation of data, identify trends and test solutions, sources additional related information where appropriate, and reports on…",data analyst,Associate Business Analyst,undefined,Melbourne VIC,2022-08-16,3.9,96086-103670
Macquarie Group Limited,AUSTRALIA,  Previous experience in data governance or data management. Identification of data gaps and recommendations for strategic remediation.,data analyst,Business Analyst - Data Governance,permanent,Sydney NSW,2022-07-17,3.8,
WesTrac,AUSTRALIA,"  Working with available data sources CAT (CCPA), DBS, PIC and Parts viz ensuring that customers are supported and business requirements are met.",data analyst,Inventory Analyst,permanent,Hunter Valley NSW,2022-07-17,3.4,
Super Retail Group,AUSTRALIA,  Well developed communication and consultation skills proven by a background spent analysing customer data at medium to large corporate enterprises.,data analyst,Customer Insights Analyst,permanent,Brisbane QLD,2022-08-13,3.7,
EY,AUSTRALIA,  Experience building data profiling and data cleansing frameworks. Ability to define and develop data integration patterns and pipelines.,data analyst,Expressions of Interest - Data Engineer | Data &amp; Analytics,,Sydney NSW 2000,2022-07-17,4.0,
DXC Technology,AUSTRALIA,"  Ability to dissect Business processes or user stories to identify data types, classifications and integrations required to support the processes.",data analyst,Business Analyst,full-time,Macquarie Park NSW+1 location,2022-07-17,3.2,
News Corp Australia,AUSTRALIA,  Work with data services to design data lakes and development of data models. Proactively deliver data-driven insights and recommendations through Tableau…,data analyst,Data Analyst for Strategy &amp; Data,,Sydney NSW,2022-07-27,3.8,
Allianz Australia,AUSTRALIA,  Support the Allianz business with your data management &amp; visualisation skills. Experience of working in a data analytics and reporting service role for a…,data analyst,Senior Reporting Analyst,permanent,Temporarily Remote in Sydney NSW 2000,2022-07-17,3.9,
Bupa,AUSTRALIA,  Experience with data visualization tools (Tableau or Power BI). Apply your broad skillset across data and analytics to develop and implement analytical models…,data analyst,Analyst,permanent,Remote in Victoria,2022-07-17,3.3,
EY,AUSTRALIA,"  We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",data analyst,GIS Developer | Data &amp; Analytics,undefined,Perth WA 6000,2022-07-17,4.0,90000
NSW Government -iCare,AUSTRALIA,  Provide support to projects that involve analysis of data and trends. Provide analysis and leadership for the Actuarial Team to enable icare to operate in a…,data analyst,Senior Actuarial Analyst,permanent,Sydney NSW,2022-07-17,3.7,
GHD,AUSTRALIA,"  High attention to detail with an ‘eye for detail’ in creating accurate and quality figures and data. Developing and provisioning customised tools, workflow…",data analyst,Spatial Analyst,,Temporarily Remote in Brisbane QLD+1 location,2022-07-17,3.6,
AWS Australia Pty Ltd,AUSTRALIA,"  Knowledge and experience in data and analytics solutions. In this role, you will work closely with AWS product teams, Partner Development Managers, Solution…",data analyst,"Sr. Partner Development Specialist (ANZ), Data &amp; Analytics",full-time,Melbourne VIC,2022-07-17,3.5,
Fugro,AUSTRALIA,  Experience using data model tools. Over five (5) years experience as a technical data engineer. I n-depth knowledge of AWS Data modelling practices and…,data analyst,Data Engineer and Support Analyst,full-time,Brisbane QLD,2022-07-28,3.9,
Racing and Wagering Western Australia,AUSTRALIA,"  Working as part of an agile team, managing the relationship with and between stakeholders, managing the backlog refinement and engaging with users and business…",data analyst,Business Analyst,full-time,Osborne Park WA 6017,2022-08-10,,
NAB - National Australia Bank,AUSTRALIA,  Perform any data analysis relevant to project tasks. Ad-hoc data requests as required to assist projects within CDD. Self-service and strategic Pega reporting.,data analyst,"Senior Analyst, CDD Data Management",permanent,Melbourne VIC,2022-07-26,3.6,
Aginic,AUSTRALIA,"  Welcome to Aginic, a consultancy where some of the country’s brightest data analysts, engineers, agile coaches, designers, and cloud architects blend their…",data analyst,Grad Analyst 2023 Expressions of Interest,graduate,Remote in Australia,2022-07-17,,
Coles Supermarkets,AUSTRALIA,"  We drive evolutionary architecture, technical innovation and data driven decisions to implement our strategy. We pride ourselves on being a creative and forward…",data analyst,Business Analyst,full-time,Hawthorn East VIC 3123,2022-07-17,3.8,
Link Group,AUSTRALIA,"  Write &amp; execute SQL queries to extract data and complete calculations/analysis. Responsible for taking all necessary actions to complete prevention, early…",data analyst,Product Integrity Analyst,,Melbourne VIC,2022-07-26,2.7,
Infosys,AUSTRALIA,"  Possess at least 12 years of experience as a techno functional Business Analyst and System Analyst Role in projects involving Data Management, SQL, Insurance…",data analyst,"Technical Business Analyst - Data Management, SQL",,Melbourne VIC,2022-07-17,3.9,
Macquarie Group Limited,AUSTRALIA,"  Develop risk management, pricing and data analytics tools. To be considered, you will need to demonstrate a stable work history to date, have gained 1-2 years’…",data analyst,Analyst / Senior Analyst – Metals Trader,permanent,Sydney NSW,2022-08-10,3.8,
Google,AUSTRALIA,"  Experience in technical consulting delivery for data solutions in cloud environments. Experience devising migration approach, and migrating on prem data…",data analyst,"Cloud Consultant, Data, Analytics, Google Cloud Professional...",full-time,Sydney NSW,2022-07-17,4.3,
DWS,AUSTRALIA,"  Experience with enterprise data warehousing methodologies, including designing and maintaining complex data warehouses and corporate external data source…",data analyst,Microsoft BI Developer,undefined,Remote in Canberra ACT,2022-08-10,3.7,150000
ED - Group Support Functions,AUSTRALIA,"  Produce data, analytics and insights from various data sources across Endeavour drinks, including Adobe, GCP, Azure and other proprietary databases.",data analyst,Senior Data Analyst,full-time,Sydney NSW 2000,2022-07-17,,
EY,AUSTRALIA,  Be a part of one of our successful delivery teams and get an opportunity to move into a more consultative role working across various data environments and…,data analyst,Expression of Interest - Technical Business Analyst,undefined,Brisbane QLD 4000+1 location,2022-08-07,4.0,90000
